Date,Open,High,Low,Close,Adj Close,Volume,LogRet_AdjClose
1993-08-12,14.5,14.5,13.6875,14.3125,3.226116180419922,13086600,
1993-08-13,14.25,14.25,13.875,13.875,3.12749981880188,1277800,-0.031045087402007836
1993-08-16,13.875,14.0,13.8125,14.0,3.1556756496429443,559000,0.008968719670315657
1993-08-17,14.0,14.125,13.9375,14.0625,3.169764518737793,545600,0.0044546757279344835
1993-08-18,14.0625,14.0625,14.0625,14.0625,3.169764518737793,469200,0.0
1993-08-19,14.0625,14.0625,13.8125,13.8125,3.1134116649627686,409400,-0.017938177511714837
1993-08-20,13.875,14.0625,13.875,13.9375,3.1415891647338867,540800,0.009009652003043038
1993-08-23,13.9375,14.0625,13.875,14.0,3.1556756496429443,335600,0.004473849780737322
1993-08-24,14.0,14.1875,14.0,14.1875,3.197941303253174,234400,0.013304634946366507
1993-08-25,14.0625,14.0625,14.0,14.0,3.1556756496429443,102600,-0.013304634946366484
1993-08-26,14.0,14.3125,14.0,14.3125,3.226116180419922,180400,0.022076367731692238
1993-08-27,14.3125,14.3125,14.0625,14.125,3.183851957321167,119600,-0.013187221738930275
1993-08-30,14.0625,14.25,14.0625,14.125,3.183851957321167,71400,0.0
1993-08-31,14.125,14.4375,14.125,14.375,3.2402026653289795,147000,0.017544107790510702
1993-09-01,14.4375,14.5,14.3125,14.3125,3.226116180419922,141600,-0.004356886051580335
1993-09-02,14.5,14.5,14.375,14.5,3.2683796882629395,217600,0.013015361104059032
1993-09-03,14.4375,14.8125,14.4375,14.625,3.29655385017395,178800,0.00858328106997231
1993-09-07,14.5625,14.8125,14.5625,14.6875,3.3106417655944824,167600,0.004264422483970976
1993-09-08,14.8125,14.875,14.5,14.5,3.2683796882629395,276200,-0.012847703553943357
1993-09-09,14.5,14.875,14.5,14.625,3.29655385017395,74400,0.00858328106997231
1993-09-10,14.5625,15.25,14.5625,15.125,3.4092583656311035,245000,0.033617144558823954
1993-09-13,14.9375,15.0,14.875,15.0,3.3810813426971436,251200,-0.008299197351650543
1993-09-14,14.75,14.8125,14.5625,14.75,3.324730396270752,127000,-0.01680699521309046
1993-09-15,14.75,14.75,14.5625,14.75,3.324730396270752,162400,0.0
1993-09-16,14.875,14.875,14.6875,14.875,3.3529052734375,88800,0.008438628806853882
1993-09-17,14.8125,15.0625,14.75,15.0625,3.395169496536255,113000,0.012526469307624806
1993-09-20,14.8125,14.9375,14.75,14.75,3.3480682373046875,15400,-0.013970151174200803
1993-09-21,14.875,14.875,14.6875,14.8125,3.362255334854126,286000,0.004228445479671371
1993-09-22,14.75,14.9375,14.6875,14.9375,3.3906302452087402,54800,0.008403837741647293
1993-09-23,14.875,14.875,14.6875,14.8125,3.362255334854126,51000,-0.008403837741647312
1993-09-24,14.75,15.0625,14.75,15.0625,3.4190030097961426,265000,0.01673701155958013
1993-09-27,15.0625,15.75,15.0625,15.6875,3.560870885848999,675400,0.040656154831620196
1993-09-28,15.625,15.8125,15.5,15.75,3.5750560760498047,360800,0.003975715828139612
1993-09-29,15.75,16.125,15.75,15.75,3.5750560760498047,823200,0.0
1993-09-30,15.6875,15.75,15.5,15.5625,3.5324957370758057,138000,-0.01197623282806849
1993-10-01,15.5625,15.75,15.5625,15.5625,3.5324957370758057,31600,0.0
1993-10-04,15.5,15.5,15.125,15.25,3.4615638256073,27600,-0.02028416912361939
1993-10-05,15.25,15.4375,15.1875,15.25,3.4615638256073,87600,0.0
1993-10-06,15.125,15.5625,15.125,15.5,3.5183098316192627,327600,0.016260253144169172
1993-10-07,15.375,15.75,15.375,15.5625,3.5324957370758057,40400,0.004023915979450171
1993-10-08,15.6875,17.5,15.6875,17.125,3.8871657848358154,1242600,0.09567567325993447
1993-10-11,17.0,17.25,17.0,17.0,3.858792304992676,885200,-0.007326041896037926
1993-10-12,17.0,18.25,17.0,18.0,4.085779666900635,708200,0.057158310863605816
1993-10-13,18.125,18.125,17.75,17.75,4.029030799865723,55600,-0.013986720307242812
1993-10-14,17.75,17.75,17.75,17.75,4.029030799865723,55000,0.0
1993-10-15,17.75,18.375,17.75,18.125,4.1141533851623535,200600,0.020907223517260157
1993-10-18,18.0625,18.3125,17.75,18.0625,4.099965572357178,47200,-0.0034544975517883042
1993-10-19,17.9375,17.9375,17.5,17.5,3.9722843170166016,173400,-0.031637252751410466
1993-10-20,17.5,17.5625,17.0625,17.4375,3.958098888397217,141600,-0.003577492633393361
1993-10-21,17.3125,17.3125,17.1875,17.25,3.915539264678955,32200,-0.010810768134092649
1993-10-22,17.1875,17.75,17.1875,17.5,3.9722843170166016,161000,0.01438826076748607
1993-10-25,17.4375,17.625,17.125,17.375,3.9439125061035156,48000,-0.007168071494055917
1993-10-26,17.125,17.125,16.9375,16.9375,3.8446028232574463,27000,-0.025502951763522453
1993-10-27,16.75,16.8125,16.6875,16.75,3.8020448684692383,122400,-0.011131255402656822
1993-10-28,16.75,17.0,16.5,17.0,3.858792304992676,75400,0.014815214889810852
1993-10-29,17.125,17.3125,17.0,17.3125,3.929725408554077,224400,0.01821529267606094
1993-11-01,17.25,17.375,17.1875,17.375,3.9439125061035156,24400,0.0036036996003075772
1993-11-02,17.25,17.375,17.1875,17.3125,3.929725408554077,68800,-0.0036036996003074415
1993-11-03,17.3125,17.5,17.25,17.5,3.9722843170166016,233600,0.010771771094363457
1993-11-04,17.4375,17.4375,16.875,16.875,3.830418348312378,267400,-0.036367297385695524
1993-11-05,16.875,17.5,16.875,17.375,3.9439125061035156,333200,0.029199225891639445
1993-11-08,17.5,17.9375,17.375,17.9375,4.071591854095459,164600,0.0318607894863146
1993-11-09,18.125,18.25,17.9375,17.9375,4.071591854095459,192800,0.0
