Date,Open,High,Low,Close,Adj Close,Volume,LogRet_AdjClose
1993-05-03,0.9375,0.96875,0.921875,0.953125,0.7506544589996338,859200,
1993-05-04,0.953125,0.953125,0.90625,0.9375,0.7383488416671753,1188000,-0.016529039919459927
1993-05-05,0.90625,0.96875,0.90625,0.9375,0.7383488416671753,1298400,0.0
1993-05-06,0.921875,1.015625,0.921875,1.015625,0.7998778223991394,1876800,0.08004259589776301
1993-05-07,1.015625,1.0625,1.0,1.0625,0.8367952704429626,1213600,0.04512044733472032
1993-05-10,1.0625,1.09765625,1.046875,1.09375,0.8614066243171692,940000,0.02898722142755395
1993-05-11,1.09375,1.09375,1.03125,1.078125,0.8491008281707764,768800,-0.01438872240980601
1993-05-12,1.078125,1.08203125,1.0,1.0,0.7875718474388123,532800,-0.07522333897504829
1993-05-13,1.0625,1.0625,0.99609375,1.046875,0.8244895935058594,255200,0.0458099189571865
1993-05-14,1.0,1.046875,1.0,1.046875,0.8244895935058594,207200,0.0
1993-05-17,1.046875,1.0625,1.0,1.03125,0.8121834993362427,460800,-0.01503822130297707
1993-05-18,1.0625,1.0625,1.015625,1.03125,0.8121834993362427,278400,0.0
1993-05-19,1.015625,1.0625,1.015625,1.03125,0.8121834993362427,164800,0.0
1993-05-20,1.03125,1.0625,1.03125,1.0625,0.8367952704429626,515200,0.029853142303091038
1993-05-21,1.0625,1.125,1.03125,1.125,0.8860184550285339,838400,0.05715833865307973
1993-05-24,1.078125,1.109375,1.0625,1.109375,0.8737127184867859,405600,-0.013986155752289479
1993-05-25,1.109375,1.109375,1.03125,1.09375,0.8614066243171692,303200,-0.014184961473236288
1993-05-26,1.09375,1.109375,1.03125,1.0625,0.8367952704429626,1228000,-0.02898722142755387
1993-05-27,1.078125,1.09375,1.015625,1.015625,0.7998778223991394,1132800,-0.04512044733472023
1993-05-28,1.0,1.03125,0.96875,0.96875,0.7629603743553162,1062400,-0.04725289807133674
1993-06-01,1.0,1.0,0.9375,0.9375,0.7383488416671753,1884000,-0.03278969782642635
1993-06-02,0.9375,0.9375,0.78125,0.859375,0.6768195629119873,2239200,-0.08701168521982283
1993-06-03,0.859375,0.875,0.8125,0.875,0.6891253590583801,525600,0.01801848505883561
1993-06-04,0.84375,1.0,0.84375,1.0,0.7875718474388123,482400,0.13353140343617018
1993-06-07,1.03125,1.03125,0.9375,1.0,0.7875718474388123,964000,0.0
1993-06-08,1.03125,1.03125,0.953125,1.03125,0.8121834993362427,470400,0.03077169765420937
